start_node,end_node,length,bikes per hour,cars per hour
366401737,1672907088,3028.0,3653.0,371.0
366401737,5045757162,3268.0,5250.0,569.0
366401737,4068007613,7260.0,6505.0,569.0
366401737,2269043923,7936.0,2187.0,225.0
366401737,366419728,3131.0,1816.0,167.0
366401737,411925696,2121.0,6642.0,534.0
366401737,4594765218,3313.0,6642.0,462.0
366401737,2934006870,2916.0,360.0,28.0
366401737,1628403495,8270.0,3951.0,433.0
366401737,2269043922,7838.0,2187.0,225.0
366401737,4609087192,4960.0,360.0,28.0
366401737,5767156750,4422.0,4759.0,309.0
366401737,366449378,4893.0,2187.0,225.0
366401737,1833407692,14289.0,715.0,84.0
366401737,2091954845,6566.0,6642.0,637.0
366401737,5772101044,1413.0,758.0,67.0
366401737,2231246173,3272.0,4759.0,309.0
366401737,2077773901,5566.0,2187.0,371.0
366401737,2233449865,1522.0,2140.0,282.0
366401737,2159586691,8421.0,3756.0,297.0
366401737,411923488,1771.0,3455.0,280.0
366401737,2081881127,3327.0,6642.0,637.0
366401737,4440176377,8106.0,2187.0,225.0
366401737,1997154748,4345.0,4121.0,426.0
366401737,1757008359,6570.0,3192.0,280.0
366401737,2131959234,3124.0,6642.0,462.0
366401737,1929546274,1852.0,3353.0,1156.0
366401737,2214122074,8423.0,360.0,28.0
366401737,411926201,3547.0,6495.0,569.0
366401737,3167001368,2747.0,6642.0,569.0
366401737,5765007168,2448.0,2187.0,371.0
366401737,2034589362,3933.0,2445.0,462.0
366401737,2937728604,6990.0,3951.0,433.0
366401737,5797843854,8400.0,360.0,28.0
366401737,366456369,5226.0,360.0,28.0
366401737,5748108677,10708.0,3192.0,637.0
366401737,5757541611,6187.0,6642.0,637.0
366401737,2408534557,4029.0,2187.0,371.0
366401737,366403574,6085.0,6505.0,543.0
366401737,2302073750,3955.0,360.0,28.0
366401737,4875814765,3184.0,6642.0,637.0
366401737,411925910,2349.0,3455.0,280.0
366401737,5758130729,2674.0,3455.0,280.0
366401737,4535195806,3590.0,360.0,28.0
366401737,1774952214,3771.0,2187.0,371.0
366401737,2156216413,5943.0,1269.0,112.0
366401737,411918853,2870.0,6505.0,569.0
366401737,4944096831,6338.0,1844.0,156.0
366401737,2081355030,5463.0,6642.0,637.0
366401737,366455474,5447.0,2187.0,225.0
366401737,696627474,3750.0,2187.0,371.0
366401737,4613083209,3871.0,3455.0,280.0
366401737,1226517290,2002.0,6642.0,569.0
366401737,701738629,2982.0,2479.0,569.0
366401737,2211350099,5379.0,6642.0,462.0
366401737,1540694692,17099.0,4246.0,396.0
366401737,366432328,9034.0,3921.0,318.0
366401737,4646816752,2104.0,6642.0,569.0
366401737,729523364,4946.0,6505.0,569.0
366401737,3771416308,3414.0,5588.0,637.0
366401737,5762711578,2581.0,3455.0,280.0
366401737,3168120093,2275.0,6495.0,569.0
366401737,5778300411,1619.0,6505.0,569.0
366401737,3166179577,3762.0,5525.0,462.0
366401737,2942889544,9969.0,5762.0,637.0
366401737,3242683103,9007.0,2187.0,225.0
366401737,5003306325,6706.0,3504.0,346.0
366401737,5307203576,3298.0,3068.0,462.0
366401737,1769456883,3238.0,2703.0,569.0
366401737,2262762755,7675.0,5845.0,525.0
366401737,1793489511,7864.0,3951.0,433.0
366401737,4010973001,3457.0,3068.0,462.0
366401737,366478800,20630.0,2344.0,193.0
366401737,411919193,3326.0,6642.0,462.0
366401737,411918558,2476.0,2792.0,569.0
366401737,5763168797,2324.0,6642.0,569.0
366401737,411926498,3872.0,3068.0,462.0
366401737,3830454074,6060.0,6639.0,637.0
366401737,366414108,21557.0,1146.0,160.0
366401737,5762825444,3465.0,2187.0,371.0
366401737,3342113628,21709.0,1146.0,160.0
366401737,411919364,2732.0,3958.0,469.0
366401737,1996654342,4367.0,6642.0,462.0
366401737,2915456724,10253.0,1222.0,155.0
366401737,2934599680,9118.0,3951.0,433.0
366401737,5467207473,5016.0,2187.0,371.0
366401737,3338165653,7281.0,360.0,28.0
366401737,4650010744,3137.0,6642.0,462.0
366401737,5738265715,12102.0,377.0,40.0
366401737,2209479552,8335.0,360.0,28.0
366401737,3178952974,3543.0,6642.0,462.0
366401737,366406615,14818.0,1146.0,160.0
366401737,4275271701,9107.0,360.0,28.0
366401737,3168357169,5231.0,360.0,28.0
366401737,366457722,5062.0,360.0,28.0
366401737,5742825828,9971.0,829.0,104.0
366401737,2081880939,3304.0,1816.0,167.0
366401737,2296695354,8591.0,4676.0,462.0
366401737,2922948272,13002.0,5433.0,637.0
366401737,366404948,4033.0,360.0,28.0
366401737,411917829,2584.0,5525.0,569.0
366401737,411918857,3162.0,2792.0,569.0
366401737,411926069,3176.0,2445.0,462.0
366401737,5772101028,1486.0,3504.0,371.0
366401737,5778421275,3440.0,6495.0,569.0
366401737,411925950,4360.0,5232.0,569.0
366401737,1765166516,3089.0,3455.0,280.0
366401737,4944096836,1917.0,3337.0,1100.0
366401737,3806810443,3238.0,6642.0,637.0
366401737,676548643,5260.0,6505.0,569.0
366401737,2325332286,12606.0,2077.0,182.0
366401737,676035155,15361.0,3465.0,323.0
366401737,1958801416,18455.0,1146.0,160.0
366401737,737199274,10235.0,2187.0,225.0
366401737,2621185492,9509.0,6642.0,637.0
366401737,5758130724,2623.0,3455.0,280.0
366401737,366398306,10077.0,3951.0,433.0
366401737,5773400692,4787.0,5232.0,569.0
366401737,411917952,2967.0,2479.0,569.0
366401737,4603175867,2963.0,3068.0,462.0
366401737,2036083088,3729.0,3068.0,462.0
366401737,4597283194,3005.0,6495.0,569.0
366401737,4944096827,2670.0,3156.0,1167.0
366401737,5043145855,2558.0,4285.0,1140.0
366401737,5802888801,2660.0,3629.0,1109.0
366401737,6205235785,2841.0,4549.0,1181.0
366401737,4945643893,1450.0,3230.0,1133.0
366401737,5467207443,3469.0,6495.0,569.0
366401737,5778688792,3704.0,360.0,28.0
366401737,3152632052,3764.0,6642.0,637.0
366401737,2211007482,6289.0,1269.0,112.0
366401737,411918528,4240.0,6642.0,569.0
366401737,925126918,4441.0,3068.0,462.0
366401737,5738097219,5557.0,3030.0,223.0
366401737,411926632,2542.0,4121.0,426.0
366401737,5762755207,6330.0,2187.0,216.0
366401737,3110867005,17990.0,3465.0,323.0
366401737,1497312730,8580.0,3645.0,384.0
366401737,4640689702,2939.0,6642.0,462.0
366401737,5893932269,9074.0,5762.0,637.0
366401737,2469697625,3047.0,3455.0,280.0
366401737,2079964847,3958.0,6642.0,637.0
